,word,a_mean,v_mean,freq1,pos1,freq2,pos2,letter_count
1876,celebration,5.9,7.53,2087.0,n,21,NoC,11
1882,cell,4.23,4.09,13153.0,n,131,NoC,4
1896,census,3.54,4.91,1054.0,n,12,NoC,6
1904,century,3.19,5.36,23259.0,n,233,NoC,7
1910,ceremony,3.83,6.38,2142.0,n,22,NoC,8
1912,certainty,4.35,6.38,1532.0,n,15,NoC,9
1914,certificate,3.61,6.0,3533.0,n,37,NoC,11
1921,chain,4.05,4.79,4890.0,n,50,NoC,5
1923,chair,2.86,5.89,1084.0,v,97,NoC,5
1924,chairman,3.55,5.57,9503.0,n,116,NoC,8
1928,challenge,5.25,5.95,4351.0,v,63,NoC,9
1930,chamber,4.58,4.73,3245.0,n,36,NoC,7
1934,champagne,3.8,6.86,1487.0,n,20,NoC,9
1935,champion,4.74,7.33,4318.0,n,47,NoC,8
1936,championship,6.9,6.74,4382.0,n,49,NoC,12
1937,chance,4.3,6.05,16288.0,n,161,NoC,6
1938,chancellor,3.67,4.91,2332.0,n,37,NoC,10
1940,change,4.05,5.09,28210.0,v,384,NoC,6
1942,channel,2.68,5.67,4676.0,n,58,NoC,7
1944,chaos,6.31,2.84,1637.0,n,16,NoC,5
1946,chap,2.54,5.1,1939.0,n,20,NoC,4
1947,chapel,2.45,6.67,1874.0,n,23,NoC,6
1950,chapter,3.86,5.7,16860.0,n,169,NoC,7
1951,character,4.35,6.14,12511.0,n,125,NoC,9
1952,characteristic,4.24,5.57,5423.0,n,51,NoC,14
1957,charge,4.25,4.61,7206.0,v,149,NoC,6
1963,charity,3.22,6.85,4073.0,n,45,NoC,7
1965,charm,4.51,7.34,1470.0,n,15,NoC,5
1969,chart,3.1,5.35,2567.0,n,26,NoC,5
1970,charter,3.84,5.55,2475.0,n,25,NoC,7
1987,check,3.38,6.55,9566.0,v,27,NoC,5
1997,cheek,3.47,5.9,3368.0,n,35,NoC,5
2004,cheese,3.8,6.81,2864.0,n,30,NoC,6
2010,chemical,3.41,4.89,5219.0,n,33,NoC,8
2011,chemist,3.95,4.95,1219.0,n,12,NoC,7
2012,chemistry,4.59,5.74,1855.0,n,20,NoC,9
2019,chest,4.95,5.18,3996.0,n,40,NoC,5
2025,chicken,3.2,6.17,2426.0,n,25,NoC,7
2028,chief,3.25,5.83,4307.0,n,47,NoC,5
2030,child,5.33,7.2,71008.0,n,710,NoC,5
2032,childhood,3.73,6.65,2853.0,n,29,NoC,9
2045,chin,3.84,5.07,1636.0,n,16,NoC,4
2047,chip,2.75,6.32,3535.0,n,36,NoC,4
2059,chocolate,5.14,7.63,2395.0,n,24,NoC,9
2060,choice,3.52,6.36,13682.0,n,138,NoC,6
2061,choir,3.29,6.15,1130.0,n,12,NoC,5
2070,chord,2.72,5.75,1015.0,n,10,NoC,5
2074,chorus,4.2,6.0,1055.0,n,11,NoC,6
2094,church,3.63,5.21,23008.0,n,238,NoC,6
2100,cigarette,4.0,3.0,3579.0,n,36,NoC,9
2104,cinema,6.05,6.86,2026.0,n,22,NoC,6
2109,circle,3.33,5.76,4967.0,n,50,NoC,6
2110,circuit,4.35,4.82,3236.0,n,33,NoC,7
2114,circulation,4.05,5.71,1527.0,n,15,NoC,11
2118,circumstance,3.41,5.0,11009.0,n,110,NoC,12
2127,citizen,2.63,6.43,4532.0,n,47,NoC,7
2130,city,5.08,6.12,21596.0,n,275,NoC,4
2139,claim,3.9,5.15,18828.0,v,118,NoC,5
2153,clarity,3.64,7.26,1061.0,n,11,NoC,7
2154,clash,5.67,3.96,1621.0,n,18,NoC,5
2156,class,4.43,5.73,24148.0,n,241,NoC,5
2157,classic,3.62,6.32,1885.0,n,16,NoC,7
2160,classification,3.45,4.77,1885.0,n,19,NoC,14
2164,classroom,4.0,5.57,2735.0,n,28,NoC,9
2167,clause,3.32,4.9,4272.0,n,49,NoC,6
2172,clay,3.84,5.45,1697.0,n,17,NoC,4
2174,cleaner,3.17,5.8,1148.0,n,12,NoC,7
2188,clergy,2.95,4.8,1355.0,n,14,NoC,6
2191,clerk,3.85,4.76,2181.0,n,26,NoC,5
2196,client,2.95,5.22,10948.0,n,110,NoC,6
2198,cliff,5.18,4.77,1908.0,n,20,NoC,5
2199,climate,3.95,5.8,3060.0,n,31,NoC,7
2206,clinic,2.95,4.95,2228.0,n,22,NoC,6
2219,clock,3.35,5.65,3279.0,n,33,NoC,5
2225,close,3.81,5.23,15439.0,v,11,NoC,5
2228,closure,3.19,5.21,2249.0,n,25,NoC,7
2230,cloth,2.58,6.2,2130.0,n,22,NoC,5
2232,clothes,3.14,6.77,7308.0,n,73,NoC,7
2234,clothing,4.44,6.37,1892.0,n,21,NoC,8
2235,cloud,2.81,6.2,3448.0,n,37,NoC,5
2242,club,3.76,6.5,20113.0,n,202,NoC,4
2245,clue,3.52,5.38,1968.0,n,20,NoC,4
2250,cluster,4.21,5.05,1404.0,n,15,NoC,7
2253,coach,3.35,5.72,1246.0,v,37,NoC,5
2255,coal,2.55,4.56,5328.0,n,53,NoC,4
2256,coalition,3.9,4.9,2503.0,n,26,NoC,9
2258,coast,4.17,5.9,4081.0,n,49,NoC,5
2262,coat,3.1,5.29,4212.0,n,42,NoC,4
2281,code,2.76,4.67,1358.0,v,65,NoC,4
2289,coffee,5.1,7.0,6614.0,n,68,NoC,6
2293,coffin,4.3,2.63,1241.0,n,16,NoC,6
2299,coin,3.13,6.55,2552.0,n,26,NoC,4
2306,cold,3.55,4.32,3371.0,n,25,NoC,4
2311,collaboration,4.39,5.19,1391.0,n,14,NoC,13
2315,collapse,6.14,3.37,2508.0,v,23,NoC,8
2316,collar,3.33,4.95,1611.0,n,16,NoC,6
2319,colleague,3.5,5.26,7209.0,n,72,NoC,9
2321,collection,4.44,5.9,9639.0,n,96,NoC,10
2323,collector,4.91,5.27,1663.0,n,19,NoC,9
2324,college,4.0,6.44,8375.0,n,126,NoC,7
2331,colonel,3.9,5.18,907.0,n,20,NoC,7
2335,colony,4.17,5.52,2078.0,n,21,NoC,6
2342,column,3.11,5.0,4456.0,n,45,NoC,6
2350,combination,3.5,5.47,5404.0,n,54,NoC,11
2357,comedy,6.0,8.05,1553.0,n,16,NoC,6
2359,comfort,2.76,7.24,1169.0,v,28,NoC,7
2368,command,4.65,4.19,1932.0,v,41,NoC,7
2371,commander,4.6,4.73,1977.0,n,24,NoC,9
2381,comment,3.56,5.65,5065.0,v,75,NoC,7
2382,commentary,3.5,5.5,1036.0,n,10,NoC,10
2383,commentator,4.1,5.11,1290.0,n,14,NoC,11
2384,commerce,3.95,5.21,1615.0,n,16,NoC,8
2388,commission,4.59,5.81,2053.0,v,111,NoC,10
